GEOID,sovi,rank,fema_region
g12005,0.24688544928442024,322.0,FEMA_4
g12007,2.633320382981815,91.0,FEMA_4
g12009,0.19794342170841464,328.0,FEMA_4
g12011,1.9479238845670377,134.0,FEMA_4
g12013,5.026970620503123,24.0,FEMA_4
g12015,4.154173922626889,40.0,FEMA_4
g12017,4.587493897581116,28.0,FEMA_4
g12019,-3.7409635677464697,691.0,FEMA_4
g12021,4.1986402403456164,37.0,FEMA_4
g12023,0.9085561081484733,240.0,FEMA_4
g12027,7.086659944159838,10.0,FEMA_4
g12029,2.0970931495920815,126.0,FEMA_4
g12031,-0.8700766554422157,477.0,FEMA_4
g12033,0.4451954191821235,292.0,FEMA_4
g12035,1.4868584596871584,173.0,FEMA_4
g12037,6.163547514796724,19.0,FEMA_4
g12039,2.07281958029869,130.0,FEMA_4
g12041,0.7586302732323593,259.0,FEMA_4
g12043,9.372657506338458,4.0,FEMA_4
g12045,4.324439609387359,33.0,FEMA_4
g12047,4.300023928960113,34.0,FEMA_4
g12049,5.865032850981596,22.0,FEMA_4
g12051,7.617364223554949,9.0,FEMA_4
g12053,1.783703159118927,146.0,FEMA_4
g12055,6.467075917018253,16.0,FEMA_4
g12057,0.8067250764855984,253.0,FEMA_4
g12059,1.3908898680897301,182.0,FEMA_4
g12061,2.5858928532225507,95.0,FEMA_4
g12063,3.7638633129075805,46.0,FEMA_4
g12065,2.107533858608425,124.0,FEMA_4
g12067,2.3488593711716983,114.0,FEMA_4
g12069,1.7569774407846057,147.0,FEMA_4
g12071,3.8225218843802855,45.0,FEMA_4
g12073,-2.4060421648481984,633.0,FEMA_4
g12075,2.166656970685209,122.0,FEMA_4
g12077,2.3756954857744343,111.0,FEMA_4
g12079,2.092566550879614,128.0,FEMA_4
g12081,2.1897768225952206,120.0,FEMA_4
g12083,3.0653013658694332,70.0,FEMA_4
g12085,1.5089004610775527,169.0,FEMA_4
g12086,9.004354539161152,5.0,FEMA_4
g12087,2.6775170529400683,88.0,FEMA_4
g12089,-2.814155446694015,652.0,FEMA_4
g12091,-0.7322855475277673,457.0,FEMA_4
g12093,6.011013470934379,21.0,FEMA_4
g12095,1.6801143766544366,152.0,FEMA_4
g12097,5.44987630432443,23.0,FEMA_4
g12099,2.444000811374686,102.0,FEMA_4
g12101,1.0493158887768514,224.0,FEMA_4
g12103,3.2431835438771506,60.0,FEMA_4
g12105,2.11850342221115,123.0,FEMA_4
g12107,2.8190052138169777,78.0,FEMA_4
g12109,-3.906972356275317,695.0,FEMA_4
g12111,2.7893274237500547,81.0,FEMA_4
g12113,-3.3767716204771205,677.0,FEMA_4
g12115,3.6114705235241096,49.0,FEMA_4
g12117,-2.4236858983110756,634.0,FEMA_4
g12119,6.529691230493812,15.0,FEMA_4
g12121,2.6287090203335404,93.0,FEMA_4
g12123,2.7167842538133806,86.0,FEMA_4
g12125,6.442042435902722,17.0,FEMA_4
g12127,2.0936006680608483,127.0,FEMA_4
g12129,-2.363305160166557,632.0,FEMA_4
g12131,1.718658582811416,150.0,FEMA_4
g12133,2.4237785942128536,104.0,FEMA_4
g13001,-0.6325273540664266,445.0,FEMA_4
g13003,0.66587952934407,268.0,FEMA_4
g13005,-0.4702967219360191,418.0,FEMA_4
g13007,0.7639264590568628,258.0,FEMA_4
g13009,2.5758441907677656,96.0,FEMA_4
g13011,-3.7339809288928048,690.0,FEMA_4
g13013,-3.640255372689091,686.0,FEMA_4
g13015,-2.687007316998258,644.0,FEMA_4
g13017,2.199806117201968,118.0,FEMA_4
g13019,-0.39886264775351465,407.0,FEMA_4
g13021,0.5075310399496709,284.0,FEMA_4
g13023,-0.839367355542176,471.0,FEMA_4
g13025,-1.221793447355584,520.0,FEMA_4
g13027,1.1536538938088943,203.0,FEMA_4
g13029,-4.8863756851241655,713.0,FEMA_4
g13031,-1.1919892223617907,519.0,FEMA_4
g13033,0.5687420718713546,278.0,FEMA_4
g13035,-1.8484417789211878,596.0,FEMA_4
g13037,6.672174827342562,12.0,FEMA_4
g13039,-2.7339848152947015,649.0,FEMA_4
g13043,3.1975406850924317,64.0,FEMA_4
g13045,-2.757063694926953,650.0,FEMA_4
g13047,-3.201501610617261,672.0,FEMA_4
g13049,0.8703235582134523,244.0,FEMA_4
g13051,-0.5550685826617523,432.0,FEMA_4
g13053,-1.4947166908116551,555.0,FEMA_4
g13055,-0.12217173219393601,374.0,FEMA_4
g13057,-5.7202747906794755,723.0,FEMA_4
g13059,1.1846478785647545,200.0,FEMA_4
g13061,7.894786118099251,7.0,FEMA_4
g13063,0.5746217479900797,277.0,FEMA_4
g13065,2.1913749202687294,119.0,FEMA_4
g13067,-3.3976813076768346,680.0,FEMA_4
g13069,-0.0678821858697723,366.0,FEMA_4
g13071,0.6911986049736861,263.0,FEMA_4
g13073,-5.710418431041324,722.0,FEMA_4
g13075,-0.6519556156153976,447.0,FEMA_4
g13077,-4.7811636706094225,711.0,FEMA_4
g13079,-1.7057601666600672,584.0,FEMA_4
g13081,1.1122229774274213,210.0,FEMA_4
g13083,-2.360107903391962,630.0,FEMA_4
g13085,-3.897974975247551,694.0,FEMA_4
g13087,1.904105115215081,139.0,FEMA_4
g13089,-0.33202126390072617,399.0,FEMA_4
g13091,1.0875535556574971,213.0,FEMA_4
g13093,1.037105105119233,226.0,FEMA_4
g13095,0.8060248240150801,254.0,FEMA_4
g13097,-4.7003640205233985,709.0,FEMA_4
g13099,1.1018854669715756,211.0,FEMA_4
g13101,3.8849223034311833,43.0,FEMA_4
g13103,-5.867053106866624,727.0,FEMA_4
g13105,1.2478899472581717,194.0,FEMA_4
g13107,1.6930728309044647,151.0,FEMA_4
g13109,-0.43662803018067875,413.0,FEMA_4
g13111,1.141466779388931,206.0,FEMA_4
g13113,-7.13453636725302,733.0,FEMA_4
g13115,0.464187076275571,290.0,FEMA_4
g13117,-7.138147488805214,734.0,FEMA_4
g13119,0.44934685269858443,291.0,FEMA_4
g13121,-2.3271704964647544,625.0,FEMA_4
g13123,0.7962945235363262,255.0,FEMA_4
g13125,1.6119336573245695,158.0,FEMA_4
g13127,0.18919075847073463,330.0,FEMA_4
g13129,-1.0437932300890045,495.0,FEMA_4
g13131,0.3671529547629588,303.0,FEMA_4
g13133,2.2478701228860585,117.0,FEMA_4
g13135,-1.8407359747769494,595.0,FEMA_4
g13137,-0.8818609008372021,479.0,FEMA_4
g13139,-0.1585564443662489,375.0,FEMA_4
g13141,6.592740388170532,13.0,FEMA_4
g13143,-1.3052197041853941,533.0,FEMA_4
g13145,-7.027364566171477,732.0,FEMA_4
g13147,0.673795679218535,266.0,FEMA_4
g13149,-1.7124591464658014,585.0,FEMA_4
g13151,-5.305400137131769,716.0,FEMA_4
g13153,-3.2608000136907473,674.0,FEMA_4
g13155,0.15436130466494175,336.0,FEMA_4
g13157,-3.6932399814554504,688.0,FEMA_4
g13159,-1.9743783230136835,603.0,FEMA_4
g13161,-0.9560102594107951,484.0,FEMA_4
g13163,1.9344784488032707,135.0,FEMA_4
g13165,0.8510354940045385,247.0,FEMA_4
g13167,1.3914274227823866,181.0,FEMA_4
g13169,-4.534483584945433,707.0,FEMA_4
g13171,-1.9254179198898134,599.0,FEMA_4
g13173,0.30846725716981743,313.0,FEMA_4
g13175,0.27113771462260056,318.0,FEMA_4
g13177,-6.769067307096571,731.0,FEMA_4
g13179,-2.1036249353734577,611.0,FEMA_4
g13181,2.4711775002037895,100.0,FEMA_4
g13183,-0.2022631195804554,379.0,FEMA_4
g13185,-1.551787877754086,563.0,FEMA_4
g13187,-2.430754688516232,635.0,FEMA_4
g13189,-0.41635612373794717,411.0,FEMA_4
g13191,-0.6196673485400448,440.0,FEMA_4
g13193,1.839878346258799,143.0,FEMA_4
g13195,-2.1309840649171075,612.0,FEMA_4
g13197,1.645472184207091,153.0,FEMA_4
g13199,-0.8188587832019057,468.0,FEMA_4
g13201,1.0766161043289741,216.0,FEMA_4
g13205,0.6699108850938358,267.0,FEMA_4
g13207,-2.955583211484142,659.0,FEMA_4
g13209,-1.0796195441391414,501.0,FEMA_4
g13211,-2.6631591379912636,642.0,FEMA_4
g13213,-1.5333483601707603,560.0,FEMA_4
g13215,0.6297587093810619,272.0,FEMA_4
g13217,-4.246712736971917,700.0,FEMA_4
g13219,-6.7109745679508155,730.0,FEMA_4
g13221,-3.345968496414632,676.0,FEMA_4
g13223,-6.340683576203117,729.0,FEMA_4
g13225,-1.4097861081281167,545.0,FEMA_4
g13227,-2.5301986270897445,639.0,FEMA_4
g13229,-0.20238010611267368,380.0,FEMA_4
g13231,-5.5923072085344225,721.0,FEMA_4
g13233,0.26926843997579103,319.0,FEMA_4
g13235,2.41910421207954,108.0,FEMA_4
g13237,0.20010505456304128,327.0,FEMA_4
g13239,1.4236120416233393,179.0,FEMA_4
g13241,2.9070533768506377,75.0,FEMA_4
g13243,2.394193358432083,110.0,FEMA_4
g13245,0.912402577015305,239.0,FEMA_4
g13247,-2.953710523718258,658.0,FEMA_4
g13249,-2.578709001579424,641.0,FEMA_4
g13251,-0.5010254323899325,423.0,FEMA_4
g13253,1.4698370422272118,175.0,FEMA_4
g13255,-0.5701043053520675,434.0,FEMA_4
g13257,-0.016711854483856703,357.0,FEMA_4
g13259,6.216015151590159,18.0,FEMA_4
g13261,2.518007430465292,98.0,FEMA_4
g13263,-0.01959070155798781,358.0,FEMA_4
g13265,4.501667927773521,30.0,FEMA_4
g13267,2.011542727873921,132.0,FEMA_4
g13269,1.3658427078538953,184.0,FEMA_4
g13271,8.088374461192366,6.0,FEMA_4
g13273,2.4195540851326403,107.0,FEMA_4
g13275,0.786507861296275,256.0,FEMA_4
g13277,-0.0010180853763627346,355.0,FEMA_4
g13279,1.968470707371125,133.0,FEMA_4
g13281,2.999729800916263,72.0,FEMA_4
g13283,1.1162064832974323,209.0,FEMA_4
g13285,-0.8561518176758882,474.0,FEMA_4
g13287,1.4985464599512095,172.0,FEMA_4
g13289,-1.2824206533601312,527.0,FEMA_4
g13291,2.1015874997485566,125.0,FEMA_4
g13293,1.0056612055817802,231.0,FEMA_4
g13295,-1.8112570215440236,592.0,FEMA_4
g13297,-3.5916571713368404,685.0,FEMA_4
g13299,1.6384178325746979,155.0,FEMA_4
g13301,1.8797489910013532,142.0,FEMA_4
g13303,1.5002426437885967,171.0,FEMA_4
g13305,-0.5170909458770067,427.0,FEMA_4
g13307,-0.7804600109339964,463.0,FEMA_4
g13309,6.037971865942468,20.0,FEMA_4
g13311,-0.8169598586652997,467.0,FEMA_4
g13313,1.0554563900612912,222.0,FEMA_4
g13315,4.492279944072218,31.0,FEMA_4
g13317,2.4302991925168533,103.0,FEMA_4
g13319,-0.610202958590248,437.0,FEMA_4
g13321,-0.7728944460065379,460.0,FEMA_4
g15001,,,
g15003,,,
g15005,,,
g15007,,,
g15009,,,
g16001,-3.27365837417967,105.0,FEMA_10
g16003,-0.8094455079564923,73.0,FEMA_10
g16005,-1.0408350455838036,79.0,FEMA_10
g16007,-1.9853900479091078,98.0,FEMA_10
g16009,1.1283384505403733,49.0,FEMA_10
g16011,-0.533977749307339,70.0,FEMA_10
g16013,-4.678459110688302,112.0,FEMA_10
g16015,-5.051361097703792,115.0,FEMA_10
g16017,-1.0907551599691836,81.0,FEMA_10
g16019,-1.7045904663531983,93.0,FEMA_10
g16021,-0.9631247630457715,77.0,FEMA_10
g16023,-0.17393991603530623,66.0,FEMA_10
g16025,-4.389783389521991,109.0,FEMA_10
g16027,1.3620325082576565,45.0,FEMA_10
g16029,-4.72329303386295,113.0,FEMA_10
g16031,-0.35127488333805346,68.0,FEMA_10
g16033,-0.688513626739528,71.0,FEMA_10
g16035,-1.1484657553044244,83.0,FEMA_10
g16037,-4.4791386030380576,110.0,FEMA_10
g16039,-1.7634980110513228,94.0,FEMA_10
g16041,-6.1144307933575455,117.0,FEMA_10
g16043,-5.4994683838790355,116.0,FEMA_10
g16045,2.056527227621403,27.0,FEMA_10
g16047,-0.3877992865796318,69.0,FEMA_10
g16049,1.5427694267506418,41.0,FEMA_10
g16051,-4.527934062150335,111.0,FEMA_10
g16053,1.335662574791347,46.0,FEMA_10
g16055,-0.8961871028162225,76.0,FEMA_10
g16057,-1.5843271497588574,91.0,FEMA_10
g16059,0.30880184409434686,59.0,FEMA_10
g16061,1.9803907550707989,30.0,FEMA_10
g16063,-1.0038204548847085,78.0,FEMA_10
g16065,-1.9564505607789497,96.0,FEMA_10
g16067,0.6108621346972205,55.0,FEMA_10
g16069,1.3143934454474948,47.0,FEMA_10
g16071,-3.696768325218977,106.0,FEMA_10
g16073,1.7516627834822418,36.0,FEMA_10
g16075,1.8871990936088023,33.0,FEMA_10
g16077,-1.4856474065551963,88.0,FEMA_10
g16079,1.8990044612215222,32.0,FEMA_10
g16081,-6.469305362671356,118.0,FEMA_10
g16083,0.7396728481088539,53.0,FEMA_10
g16085,-4.797626753730238,114.0,FEMA_10
g16087,3.261510989188739,10.0,FEMA_10
g17001,0.9137201456387811,173.0,FEMA_5
g17003,6.458233348444219,7.0,FEMA_5
g17005,-0.3897339720598583,293.0,FEMA_5
g17007,-0.013267896964767434,254.0,FEMA_5
