GEOID,sovi,rank
g12053,3.3672459482449892,272.0
g12055,6.572563094379994,65.0
g12057,-0.2733042976552129,1742.0
g12059,-0.7362490344065935,1986.0
g12061,3.839282311375821,219.0
g12063,0.18978315940738089,1469.0
g12065,-0.6227428404353634,1931.0
g12067,-2.4096208921899787,2602.0
g12069,2.2165378375733598,518.0
g12071,3.5021520450619184,257.0
g12073,-2.4321040193610672,2606.0
g12075,1.7068326211187062,717.0
g12077,-6.116523743425642,3089.0
g12079,-0.04033124930093934,1598.0
g12081,2.3995046384538146,457.0
g12083,4.053030903262756,185.0
g12085,1.8532438823635315,648.0
g12086,6.245311180754679,73.0
g12087,-1.5695726493217101,2346.0
g12089,-2.434588341354733,2607.0
g12091,-1.4130072240541787,2288.0
g12093,2.4952155946568357,438.0
g12095,-0.1105768279997934,1643.0
g12097,3.77962872375201,224.0
g12099,2.2559801003459246,506.0
g12101,1.0939726696544565,991.0
g12103,1.9967842710473147,590.0
g12105,1.7794161162606221,686.0
g12107,1.975102639105761,599.0
g12109,-3.4292791106889733,2846.0
g12111,3.0416664704396092,323.0
g12113,-3.791989769992666,2906.0
g12115,4.654007763574763,140.0
g12117,-2.2807613451795374,2566.0
g12119,6.5287555742521715,67.0
g12121,0.4351409531452184,1348.0
g12123,-0.698150559592372,1965.0
g12125,-4.053622239873064,2941.0
g12127,2.3986749436255588,458.0
g12129,-5.184403112241657,3034.0
g12131,-0.09772926459951448,1632.0
g12133,-0.5571290690713573,1897.0
g13001,-2.5470877043885425,2639.0
g13003,0.03663663938358219,1561.0
g13005,-0.6270416597846389,1932.0
g13007,4.215315580258443,169.0
g13009,1.5268774276103194,801.0
g13011,-4.348244128665497,2964.0
g13013,-3.328722343283705,2828.0
g13015,-2.274778035524493,2564.0
g13017,3.247670979775889,297.0
g13019,-1.0422522944005985,2120.0
g13021,2.0896659563219417,555.0
g13023,0.8057749914844778,1135.0
g13025,-1.7746769933980362,2417.0
g13027,0.8960075111684627,1079.0
g13029,-4.447278220953008,2975.0
g13031,-2.068843803243907,2513.0
g13033,2.2641421229667715,503.0
g13035,-3.124508830519843,2785.0
g13037,-0.10556585958927744,1638.0
g13039,-3.11889706759482,2783.0
g13043,1.8086740150253648,673.0
g13045,-2.081894604209446,2515.0
g13047,-1.51381297148599,2329.0
g13049,-2.9122783860539823,2735.0
g13051,-0.24193860493922092,1719.0
g13053,-7.930372270791176,3127.0
g13055,-1.1229552346966931,2162.0
g13057,-5.0692118534639246,3024.0
g13059,0.5523540728774774,1277.0
g13061,7.766119001557029,44.0
g13063,0.6690799324333014,1209.0
g13065,3.299565469591884,287.0
g13067,-4.289177194173906,2959.0
g13069,-1.7672144915623684,2414.0
g13071,0.6068077611923162,1238.0
g13073,-5.128246380348332,3029.0
g13075,-0.29543071436807944,1752.0
g13077,-4.049500361456414,2938.0
g13079,-2.5088205936090073,2627.0
g13081,2.8200106057197,368.0
g13083,-2.0828798034259335,2516.0
g13085,-3.3826706319178976,2839.0
g13087,2.2043716432002856,522.0
g13089,-1.4258661889912074,2296.0
g13091,-1.507080223863652,2326.0
g13093,-1.565367379497543,2343.0
g13095,3.255723422260173,296.0
g13097,-3.5946816970087365,2868.0
g13099,2.841962011267636,361.0
g13101,1.9074431549898265,629.0
g13103,-5.422281265534968,3051.0
g13105,2.8333886662433123,366.0
g13107,1.417523271433166,841.0
g13109,-0.5010366065137493,1866.0
g13111,1.866496947208101,641.0
g13113,-5.839628231542781,3076.0
g13115,1.1676193801233767,952.0
g13117,-6.983423611376663,3114.0
g13119,-0.04732195068385292,1604.0
g13121,-3.8395714696225585,2914.0
g13123,0.1865996984527163,1473.0
g13125,-0.5266421389304463,1883.0
g13127,1.3242361612323763,886.0
g13129,-1.1910368734759122,2197.0
g13131,-0.21279599087926915,1700.0
g13133,1.9875659669782628,593.0
g13135,-3.60916659823303,2872.0
g13137,0.05414010760614385,1552.0
g13139,-1.1739367617003693,2186.0
g13141,3.3600742299442663,276.0
g13143,-0.5934547346579852,1913.0
g13145,-5.927303990931788,3080.0
g13147,1.0438102708625188,1013.0
g13149,-1.6119494518577073,2359.0
g13151,-3.735274805325176,2894.0
g13153,-2.5584812212358656,2643.0
g13155,-0.8898831734728545,2059.0
g13157,-3.3263427260624665,2826.0
g13159,-1.561784237854217,2342.0
g13161,-1.9306225725078652,2468.0
g13163,2.8728251445171846,353.0
g13165,2.724282780248527,391.0
g13167,-1.9059409383508412,2461.0
g13169,-2.5734163484690677,2645.0
g13171,-0.758318216579799,1996.0
g13173,0.3068684513230586,1417.0
g13175,1.099551634163948,986.0
g13177,-6.269578384917843,3097.0
g13179,-2.4902776811226426,2624.0
g13181,2.729499372243242,390.0
g13183,-0.6711032997168687,1947.0
g13185,-0.8185484083081733,2022.0
g13187,-2.1968762325105478,2549.0
g13189,0.5839430851049703,1251.0
g13191,1.9186111360256723,624.0
g13193,-0.5541416643000123,1896.0
g13195,-1.288630454811306,2249.0
g13197,0.08917451770369089,1531.0
g13199,0.8803259544278753,1092.0
g13201,1.3586627529846607,869.0
g13205,-0.09706031571029872,1630.0
g13207,-2.728675135894678,2691.0
g13209,-2.5751309807521907,2646.0
g13211,-1.0683852053784715,2134.0
g13213,-2.15798070972654,2538.0
g13215,1.5424512838680928,793.0
g13217,-1.6641428552865936,2381.0
g13219,-5.462215385796422,3054.0
g13221,-3.33048056666787,2829.0
g13223,-4.593587518441275,2989.0
g13225,-1.28800641026697,2247.0
g13227,-2.451999811380781,2611.0
g13229,-0.16538172256732353,1676.0
g13231,-3.3988146209337353,2842.0
g13233,0.5652772610060541,1267.0
g13235,4.606053413025675,142.0
g13237,0.5185354247644114,1292.0
g13239,1.6402262304104522,749.0
g13241,2.5691498658868968,424.0
g13243,1.859824369390119,645.0
g13245,1.7847611659221736,684.0
g13247,-1.2455104940206623,2228.0
g13249,-3.367406156059373,2834.0
g13251,0.9567098429090188,1050.0
g13253,3.5872337678473727,246.0
g13255,0.8621086481708602,1103.0
g13257,1.7018336135984895,723.0
g13259,-0.5855806697876513,1910.0
g13261,3.085165760880068,316.0
g13263,1.7559198528317272,696.0
g13265,6.072443459789454,82.0
g13267,-2.9945235419278395,2750.0
g13269,1.3955023868170362,856.0
g13271,1.681107609083425,731.0
g13273,3.7552156878955563,228.0
g13275,1.2884072952576409,900.0
g13277,0.5971253334686198,1244.0
g13279,2.066800972291385,564.0
g13281,3.9353028512765276,200.0
g13283,-0.09139775362341562,1629.0
g13285,0.8004469512552148,1139.0
g13287,2.0259676674462326,584.0
g13289,-1.199078140329715,2205.0
g13291,3.521040609140103,253.0
g13293,2.6060995119307124,417.0
g13295,-0.8251159532420408,2027.0
g13297,-2.1976351089193567,2550.0
g13299,1.1420953400174143,968.0
g13301,3.2650305685405696,292.0
g13303,0.6631355284875862,1213.0
g13305,-1.9493593172469335,2473.0
g13307,-1.0871490598933296,2141.0
g13309,-5.366559848592604,3046.0
g13311,-1.4126855875393174,2287.0
g13313,-0.015164442697464198,1583.0
g13315,-1.2469732368409558,2230.0
g13317,3.488127952864594,261.0
g13319,0.9672690747167407,1048.0
g13321,0.5194267707123752,1291.0
g15001,0.6957871346784934,1197.0
g15003,-2.2150511497568104,2552.0
g15005,3.183580600994114,305.0
g15007,-0.7001830366988684,1968.0
g15009,-1.0331369167121631,2110.0
g16001,-3.6956487022952045,2888.0
g16003,1.1808400892614324,946.0
g16005,-1.7835136365324566,2422.0
g16007,0.01850674732233737,1571.0
g16009,0.5372762093576328,1286.0
g16011,-0.8752933145537063,2054.0
g16013,-2.778459975782352,2699.0
g16015,-4.159064666213894,2951.0
g16017,-1.3811198115017738,2275.0
g16019,-2.193369381549453,2548.0
g16021,-1.4831116229179229,2315.0
g16023,1.4020840280916733,849.0
g16025,-3.7271386705089444,2892.0
g16027,0.1178691246019955,1515.0
g16029,-3.788957687213885,2905.0
g16031,-1.4913710677565306,2319.0
g16033,2.0164465437785744,586.0
g16035,-0.6071476759093691,1918.0
g16037,-2.778763600170443,2700.0
g16039,-1.8281391874134774,2436.0
g16041,-4.938466293032066,3017.0
g16043,-1.709444280983423,2392.0
g16045,1.0221506360552688,1025.0
g16047,-0.7109139967139662,1974.0
g16049,1.6871089490193967,728.0
g16051,-4.623083356297764,2992.0
g16053,-0.8454140439445124,2036.0
g16055,-1.710813806610409,2394.0
g16057,-3.633739879561535,2873.0
g16059,0.8769376230938304,1094.0
g16061,2.8965910611285315,347.0
g16063,-1.1770075466343164,2187.0
